"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Resource Scaling Strategies for Open-Source FaaS Platforms compared to Commercial Cloud Offerings","J. Manner; G. Wirtz","Distributed Systems Group, Otto-Friedrich-University, Bamberg, Germany; Distributed Systems Group, Otto-Friedrich-University, Bamberg, Germany",2022 IEEE 15th International Conference on Cloud Computing (CLOUD),"24 Aug 2022","2022","","","40","48","Open-source offerings are often investigated when comparing their features to commercial cloud offerings. However, performance benchmarking is rarely executed for open-source tools hosted on-premise nor is it possible to conduct a fair cost comparison due to a lack of resource settings equivalent to cloud scaling strategies.Therefore, we firstly list implemented resource scaling strategies for public and open-source FaaS platforms. Based on this we propose a methodology to calculate an abstract performance measure to compare two platforms with each other. Since all open-source platforms suggest a Kubernetes deployment, we use this measure for a configuration of open-source FaaS platforms based on Kubernetes limits. We tested our approach with CPU intensive functions, considering the difference between single-threaded and multi-threaded functions to avoid wasting resources. With regard to this, we also address the noisy neighbor problem for open-source FaaS platforms by conducting an instance parallelization experiment. Our approach to limit resources leads to consistent results while avoiding an overbooking of resources.","2159-6190","978-1-6654-8137-3","10.1109/CLOUD55607.2022.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9860370","Serverless;Function as a Service;FaaS;Open-FaaS;Kubernetes;Benchmarking","Cloud computing;Costs;FAA;Benchmark testing;Noise measurement;Open source software","","4","","44","IEEE","24 Aug 2022","","","IEEE","IEEE Conferences"
"SMART: Serverless Module Analysis and Recognition Technique for Managed Applications","A. Ashkenazi; E. Grolman; A. Elyashar; D. Mimran; O. Brodt; Y. Elovici; A. Shabtai","Department of Software and Information Systems Engineering, Ben-Gurion University of the Negev, Israel; Department of Software and Information Systems Engineering, Ben-Gurion University of the Negev, Israel; Cyber Labs@BGU, Ben-Gurion University of the Negev, Israel; Department of Software and Information Systems Engineering, Ben-Gurion University of the Negev, Israel; Department of Software and Information Systems Engineering, Ben-Gurion University of the Negev, Israel; Department of Software and Information Systems Engineering, Ben-Gurion University of the Negev, Israel; Department of Software and Information Systems Engineering, Ben-Gurion University of the Negev, Israel","2024 IEEE 24th International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","8 Oct 2024","2024","","","442","452","Serverless Function-as-a-Service (FaaS) environments enable developers to build and run cloud applications without the need to manage the underlying servers and computing infrastructure, allowing them to focus on implementing the application logic. Such environments contain numerous functions and dynamic resources, e.g., APIs and databases, making it challenging to gain insight and context of internal events i.e., recognize modules. Module in a serverless application is a set of functions and resources, that represents a functional unit that shares logical context. This paper presents SMART, a method for automatic analysis and recognition of modules for managed serverless applications. The proposed method creates an event-based graph by analyzing the standard serverless logs that document events involving the application’s functions and resources and utilizes well-known community detection algorithms (such as Louvain), with graph centrality metrics (such as degree centrality) to recognize the modules. SMART enables high-level visibility of the application’s structure and logical context which can facilitate security analysis and contribute to improved decision-making of incident response handlers, who typically do not have direct access to the application’s design and code, which can lead to challenges in fully understanding the system’s intricacies. We focused on the popular Amazon Web Services (AWS) Lambda serverless computing platform and evaluated the proposed method on three different demo applications (Airline Booking, VOD, and E-commerce). We compared SMART’s performance to four overlapping community detection algorithms and showed that it outperformed them in the task of module recognition, with a maximum improvement of 61% on the omega index metric compared to the Speaker-Listener Label Propagation algorithm. In addition, we demonstrate that the use of large language models (LLMs) with the knowledge gained by SMART can enrich security analysis insights.","2993-2114","979-8-3503-9566-2","10.1109/CCGrid59990.2024.00057","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10701367","Serverless computing;Function-as-a-Service;Security analysis;Incident response;Serverless activity logs;Serverless application architecture","Measurement;Web services;Serverless computing;Computer architecture;Security;Indexes;Electronic commerce;Detection algorithms;Standards;Airline industry","","1","","30","IEEE","8 Oct 2024","","","IEEE","IEEE Conferences"
"Exploring the Impact of Serverless Computing on Peer To Peer Training Machine Learning","A. Barrak; R. Trabelsi; F. Jaafar; F. Petrillo","Department of Computer Science and Mathematics, University of Quebec at Chicoutimi, UQAC, Saguenay, Canada; Department of Computer Science and Mathematics, University of Quebec at Chicoutimi, UQAC, Saguenay, Canada; Department of Computer Science and Mathematics, University of Quebec at Chicoutimi, UQAC, Saguenay, Canada; Département de génie Logiciel, École de Technologie Supérieure, ÉTS, Montreal",2023 IEEE International Conference on Cloud Engineering (IC2E),"6 Nov 2023","2023","","","141","152","The increasing demand for computational power in big data and machine learning has driven the development of distributed training methodologies. Among these, peer-to-peer (P2P) networks provide advantages such as enhanced scalability and fault tolerance. However, they also encounter challenges related to resource consumption, costs, and communication overhead as the number of participating peers grows. In this paper, we introduce a novel architecture that combines serverless computing with P2P networks for distributed training and present a method for efficient parallel gradient computation under resource constraints.Our findings show a significant enhancement in gradient computation time, with up to a 97.34% improvement compared to conventional P2P distributed training methods. As for costs, our examination confirmed that the serverless architecture could incur higher expenses, reaching up to 5.4 times more than instance-based architectures. It is essential to consider that these higher costs are associated with marked improvements in computation time, particularly under resource-constrained scenarios.Despite the cost-time trade-off, the serverless approach still holds promise due to its pay-as-you-go model. Utilizing dynamic resource allocation, it enables faster training times and optimized resource utilization, making it a promising candidate for a wide range of machine learning applications.","2694-0825","979-8-3503-4394-6","10.1109/IC2E59103.2023.00024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10305831","Serverless;FaaS;Function as a Service;P2P;peer-to-peer architecture;Distributed Training;Machine Learning","Training;Costs;Scalability;Serverless computing;Computer architecture;Machine learning;Peer-to-peer computing","","3","","46","IEEE","6 Nov 2023","","","IEEE","IEEE Conferences"
"GeoFaaS: An Edge-to-Cloud FaaS Platform","M. Malekabbasi; T. Pfandzelter; T. Schirmer; D. Bermbach","Scalable Software Systems Research Group, Technische Universität Berlin & Einstein Center Digital Future; Scalable Software Systems Research Group, Technische Universität Berlin & Einstein Center Digital Future; Scalable Software Systems Research Group, Technische Universität Berlin & Einstein Center Digital Future; Scalable Software Systems Research Group, Technische Universität Berlin & Einstein Center Digital Future",2024 IEEE International Conference on Cloud Engineering (IC2E),"14 Nov 2024","2024","","","66","71","The massive growth of mobile and IoT devices demands geographically distributed computing systems for optimal performance, privacy, and scalability. However, existing edge-to-cloud serverless platforms lack location awareness, resulting in inefficient network usage and increased latency. In this paper, we propose GeoFaaS, a novel edge-to-cloud Function-as-a-Service (FaaS) platform that leverages real-time client location information for transparent request execution on the nearest available FaaS node. If needed, GeoFaaS transparently offloads requests to the cloud when edge resources are overloaded, thus, ensuring consistent execution without user intervention. GeoFaaS has a modular and decentralized architecture: building on the single-node FaaS system tinyFaaS, GeoFaaS works as a stand-alone edge-to-cloud FaaS platform but can also integrate and act as a routing layer for existing FaaS services, e.g., in the cloud. To evaluate our approach, we implemented an open-source proof-of-concept prototype and studied performance and fault-tolerance behavior in experiments.","2694-0825","979-8-3315-2869-0","10.1109/IC2E61754.2024.00014","Bundesministerium für Bildung und Forschung; Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10749738","Function-as-a-Service;Edge-to-Cloud;Serverless Computing","Performance evaluation;Location awareness;Privacy;Fault tolerance;Scalability;Fault tolerant systems;Prototypes;Routing;Real-time systems;Internet of Things","","1","","26","IEEE","14 Nov 2024","","","IEEE","IEEE Conferences"
"Data-driven scheduling in serverless computing to reduce response time","B. Przybylski; P. Żuk; K. Rzadca","Institute of Informatics, University of Warsaw, Warsaw, Poland; Institute of Informatics, University of Warsaw, Warsaw, Poland; Institute of Informatics, University of Warsaw, Warsaw, Poland","2021 IEEE/ACM 21st International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","2 Aug 2021","2021","","","206","216","In Function as a Service (FaaS), a serverless computing variant, customers deploy functions instead of complete virtual machines or Linux containers. It is the cloud provider who maintains the runtime environment for these functions. FaaS products are offered by all major cloud providers (e.g. Amazon Lambda, Google Cloud Functions, Azure Functions); as well as standalone open-source software (e.g. Apache OpenWhisk) with their commercial variants (e.g. Adobe I/O Runtime or IBM Cloud Functions). We take the bottom-up perspective of a single node in a FaaS cluster. We assume that all the execution environments for a set of functions assigned to this node have been already installed. Our goal is to schedule individual invocations of functions, passed by a load balancer, to minimize performance metrics related to response time. Deployed functions are usually executed repeatedly in response to multiple invocations made by end-users. Thus, our scheduling decisions are based on the information gathered locally: the recorded call frequencies and execution times. We propose a number of heuristics, and we also adapt some theoretically-grounded ones like SEPT or SERPT. Our simulations use a recently-published Azure Functions Trace. We show that, compared to the baseline FIFO or round-robin, our data-driven scheduling decisions significantly improve the performance.","","978-1-7281-9586-5","10.1109/CCGrid51090.2021.00030","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9499596","scheduling;function as a service;FaaS;serverless;data center;cloud;latency;response time;flow time;stretch","Cloud computing;Time-frequency analysis;Schedules;Processor scheduling;Computational modeling;FAA;Time measurement","","6","","34","IEEE","2 Aug 2021","","","IEEE","IEEE Conferences"
"FedLesScan: Mitigating Stragglers in Serverless Federated Learning","M. Elzohairy; M. Chadha; A. Jindal; A. Grafberger; J. Gu; M. Gerndt; O. Abboud","Chair of Computer Architecture and Parallel Systems, Technische Universität München Garching (near Munich), Germany; Chair of Computer Architecture and Parallel Systems, Technische Universität München Garching (near Munich), Germany; Chair of Computer Architecture and Parallel Systems, Technische Universität München Garching (near Munich), Germany; Chair of Computer Architecture and Parallel Systems, Technische Universität München Garching (near Munich), Germany; Chair of Computer Architecture and Parallel Systems, Technische Universität München Garching (near Munich), Germany; Chair of Computer Architecture and Parallel Systems, Technische Universität München Garching (near Munich), Germany; Huawei Technologies, Munich, Germany",2022 IEEE International Conference on Big Data (Big Data),"26 Jan 2023","2022","","","1230","1237","Federated Learning (FL) is a machine learning paradigm that enables the training of a shared global model across distributed clients while keeping the training data local. While most prior work on designing systems for FL has focused on using stateful always running components, recent work has shown that components in an FL system can greatly benefit from the usage of serverless computing and Function-as-a-Service technologies. To this end, distributed training of models with severless FL systems can be more resource-efficient and cheaper than conventional FL systems. However, serverless FL systems still suffer from the presence of stragglers, i.e., slow clients due to their resource and statistical heterogeneity. While several strategies have been proposed for mitigating stragglers in FL, most methodologies do not account for the particular characteristics of serverless environments, i.e., cold-starts, performance variations, and the ephemeral stateless nature of the function instances. Towards this, we propose FedLesScan, a novel clustering-based semi-asynchronous training strategy, specifically tailored for serverless F L. FedLesScan dynamically adapts to the behavior of clients and minimizes the effect of stragglers on the overall system. We implement our strategy by extending an open-source serverless FL system called FedLess. Moreover, we comprehensively evaluate our strategy using the 2nd generation Google Cloud Functions with four datasets and varying percentages of stragglers. Results from our experiments show that compared to other approaches FedLesScan reduces training time and cost by an average of 8% and 20% respectively while utilizing clients better with an average increase in the effective update ratio of 17.75%.","","978-1-6654-8045-1","10.1109/BigData55660.2022.10021037","Deutsche Forschungsgemeinschaft; Google; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10021037","Federated learning;Deep learning;Serverless computing;Function-as-a-service;FaaS","Training;Costs;Federated learning;Computational modeling;Training data;Serverless computing;Big Data","","4","","25","IEEE","26 Jan 2023","","","IEEE","IEEE Conferences"
"Software Resource Disaggregation for HPC with Serverless Computing","M. Copik; M. Chrapek; L. Schmid; A. Calotoiu; T. Hoefler","Department of Computer Science, ETH Zürich, Zürich, Switzerland; Department of Computer Science, ETH Zürich, Zürich, Switzerland; Karlsruhe Institute of Technology, Germany; Department of Computer Science, ETH Zürich, Zürich, Switzerland; Department of Computer Science, ETH Zürich, Zürich, Switzerland",2024 IEEE International Parallel and Distributed Processing Symposium (IPDPS),"8 Jul 2024","2024","","","139","156","Aggregated HPC resources have rigid allocation systems and programming models which struggle to adapt to diverse and changing workloads. Consequently, HPC systems fail to efficiently use the large pools of unused memory and increase the utilization of idle computing resources. Prior work attempted to increase the throughput and efficiency of supercomputing systems through workload co-location and resource disaggregation. However, these methods fall short of providing a solution that can be applied to existing systems without major hardware modifications and performance losses. In this paper, we improve the utilization of supercomputers by employing the new cloud paradigm of serverless computing. We show how serverless functions provide fine-grained access to the resources of batchmanaged cluster nodes. We present an HPC-oriented Functionas-a-Service (FaaS) that satisfies the requirements of high-performance applications. We demonstrate a software resource disaggregation approach where placing functions on unallocated and underutilized nodes allows idle cores and accelerators to be utilized while retaining near-native performance.Full Paper Version: https://arxiv.org/abs/2401.10852HPC FaaS Implementation: https://github.com/spcl/rFaaS","1530-2075","979-8-3503-8711-7","10.1109/IPDPS57955.2024.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10579231","serverless;high-performance computing;function-as-a-service;utilization","Distributed processing;Program processors;Computational modeling;Memory management;Serverless computing;Programming;Throughput","","5","","130","IEEE","8 Jul 2024","","","IEEE","IEEE Conferences"
"Energy-Aware Resource Scheduling for Serverless Edge Computing","M. S. Aslanpour; A. N. Toosi; M. A. Cheema; R. Gaire","Department of Software Systems and Cybersecurity, Faculty of Information Technology, Monash University, Clayton, Australia; Department of Software Systems and Cybersecurity, Faculty of Information Technology, Monash University, Clayton, Australia; Department of Software Systems and Cybersecurity, Faculty of Information Technology, Monash University, Clayton, Australia; CSIRO DATA61, Australia","2022 22nd IEEE International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","19 Jul 2022","2022","","","190","199","In this paper, we present energy-aware scheduling for Serverless edge computing. Energy awareness is critical since edge nodes, in many Internet of Things (IoT) domains, are meant to be powered by renewable energy sources that are variable, making low-powered and/or overloaded (bottleneck) nodes unavailable and not operating their services. This awareness is also required since energy challenges have not been previously addressed by Serverless, largely due to its origin in cloud computing. To achieve this, we formally model an energy-aware resource scheduling problem in Serverless edge computing, given a cluster of battery-operated and renewable-energy powered nodes. Then, we devise zone-oriented and priority-based algorithms to improve the operational availability of bottleneck nodes. As assets, our algorithm coins terms “sticky offloading” and “warm scheduling” in the interest of the Quality of Service (QoS). We evaluate our proposal against well-known benchmarks using real-world implementations on a cluster of Raspberry Pis enabled with container orchestration, Kubernetes, and Serverless computing, OpenFaaS, where edge nodes are powered by real-world solar irradiation. Experimental results achieve significant improvements, up to 33%, in helping bottleneck node's operational availability while preserving the QoS. With energy awareness, now Serverless can unconditionally offer its resource efficiency and portability at the edge.","","978-1-6654-9956-9","10.1109/CCGrid54584.2022.00028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9826101","edge computing;Serverless;function-as-a-service;energy-aware;scheduling","Wireless communication;Renewable energy sources;Computational modeling;Clustering algorithms;Serverless computing;Quality of service;Benchmark testing","","29","","23","IEEE","19 Jul 2022","","","IEEE","IEEE Conferences"
"Hybrid Serverless Platform for Service Function Chains","S. K. R; J. Lakshmi","Cloud Systems Lab, Indian Institute of Science, Bangalore, INDIA; Cloud Systems Lab, Indian Institute of Science, Bangalore, INDIA",2023 IEEE 16th International Conference on Cloud Computing (CLOUD),"25 Sep 2023","2023","","","493","504","Cloud Data Centres deal with dynamic changes all the time. Networks in particular, need to adapt their configurations to changing workloads. Given these expectations, Network Function Virtualization (NFV) using Software Defined Networks (SDNs) have realized the aspect of programmability in networks, bringing in the necessary fidelity to managing network resources. NFVs allows network services to be programmed as software entities that can be deployed on commodity clusters in the Cloud. Being software, they inherently carry the ability to be customized to specific tenants' requirements and thus support multi-tenant variations with ease. However, the ability to exploit scaling in alignment with changing demands with minimal loss of service and improving resource usage efficiency still remains a challenge. Several recent works in literature have proposed platforms to realize Virtual Network functions (VNFs) on the Cloud using different services such as Infrastructure as a Service (IaaS) and serverless computing. These approaches suffer from deployment difficulties (configuration and sizing) or adaptability to performance requirements or changing dynamics. In the current work, we propose a Hybrid Serverless Platform (HSP) to address these identified lacunae. The HSP is implemented using a combination of persistent IaaS and FaaS components. The IaaS components handle the steady state load, whereas the FaaS components activate during the dynamic change associated with scaling to minimize service loss. The HSP's controller takes provisioning decisions on Quality of Service (QoS) attributes derived from flow statistics, thereby alleviating sizing decisions for deployment. A proof-of-concept realization of HSP is presented in the paper and is evaluated for an example Service Function Chain (SFC) scenario for a dynamic workload, which shows minimal loss in flowlet service, up to 35% resource savings as compared to a pure IaaS deployment and up to 55% lower end-to-end SFC execution times as compared to a baseline FaaS implementation.","2159-6190","979-8-3503-0481-7","10.1109/CLOUD60044.2023.00066","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10254966","FaaS;Serverless;Hybrid Serverless Platform;IaaS;SFC;Serverless computing;SDN","Cloud computing;Data centers;Service function chaining;Serverless computing;Quality of service;Dynamic scheduling;Software","","3","","45","IEEE","25 Sep 2023","","","IEEE","IEEE Conferences"
"GPU-enabled Function-as-a-Service for Machine Learning Inference","M. Zhao; K. Jha; S. Hong",Arizona State University; Arizona State University; Arizona State University,2023 IEEE International Parallel and Distributed Processing Symposium (IPDPS),"18 Jul 2023","2023","","","918","928","Function-as-a-Service (FaaS) is emerging as an important cloud computing service model as it can improve the scalability and usability of a wide range of applications, especially Machine-Learning (ML) inference tasks that require scalable resources and complex software configurations. These inference tasks heavily rely on GPUs to achieve high performance; however, support for GPUs is currently lacking in the existing FaaS solutions. The unique event-triggered and short-lived nature of functions poses new challenges to enabling GPUs on FaaS, which must consider the overhead of transferring data (e.g., ML model parameters and inputs/outputs) between GPU and host memory. This paper proposes a novel GPU-enabled FaaS solution that enables ML inference functions to efficiently utilize GPUs to accelerate their computations. First, it extends existing FaaS frameworks such as OpenFaaS to support the scheduling and execution of functions across GPUs in a FaaS cluster. Second, it provides caching of ML models in GPU memory to improve the performance of model inference functions and global management of GPU memories to improve cache utilization. Third, it offers co-designed GPU function scheduling and cache management to optimize the performance of ML inference functions. Specifically, the paper proposes locality-aware scheduling, which maximizes the utilization of both GPU memory for cache hits and GPU cores for parallel processing. A thorough evaluation based on real-world traces and ML models shows that the proposed GPU-enabled FaaS works well for ML inference tasks, and the proposed locality-aware scheduler achieves a speedup of 48x compared to the default, load balancing only schedulers.","1530-2075","979-8-3503-3766-2","10.1109/IPDPS54959.2023.00096","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10177435","Function-as-a-Service;GPU scheduling;Caching;Machine learning inference","Computational modeling;Memory management;Graphics processing units;Machine learning;Data transfer;Data models;Software","","6","","29","IEEE","18 Jul 2023","","","IEEE","IEEE Conferences"
